Index.1,province,year,overall overall,overall man,overall woman,0-4 overall,0-4 man,0-4 woman,5-9 overall,5-9 man,5-9 woman,10-14 overall,10-14 man,10-14 woman,15-19 overall,15-19 man,15-19 woman,20-24 overall,20-24 man,20-24 woman,25-29 overall,25-29 man,25-29 woman,30-34 overall,30-34 man,30-34 woman,35-39 overall,35-39 man,35-39 woman,40-44 overall,40-44 man,40-44 woman,45-49 overall,45-49 man,45-49 woman,50-54 overall,50-54 man,50-54 woman,55-59 overall,55-59 man,55-59 woman,60-64 overall,60-64 man,60-64 woman,65-69 overall,65-69 man,65-69 woman,70 and older overall,70 and older man,70 and older woman,70-74 overall,70-74 man,70-74 woman,75-79 overall,75-79 man,75-79 woman,80-84 overall,80-84 man,80-84 woman,85 and older overall,85 and older man,85 and older woman,pre-working age,working age,post-working age
57,POMORSKIE,2005,2199043,1069605,1129438,114144,58570,55574,121678,62397,59281,144010,74043,69967,168963,86356,82607,193069,97638,95431,183117,91816,91301,164588,83004,81584,138316,70376,67940,142618,71543,71075,169535,83395,86140,172221,83126,89095,144414,68915,75499,80252,37246,43006,83264,36228,47036,178854,64952,113902,72909,30363,42546,54942,20288,34654,32997,9664,23333,18006,4637,13369,548795,1345124,305124
58,WARMIŃSKO-MAZURSKIE,2005,1428601,697318,731283,72475,37463,35012,80336,40942,39394,99931,51103,48828,118423,60461,57962,133558,68390,65168,112795,58208,54587,99002,50592,48410,88415,44492,43923,97852,49298,48554,116958,58110,58848,109653,53529,56124,86119,41496,44623,47907,21811,26096,51343,21713,29630,113834,39710,74124,46323,17952,28371,36401,12658,23743,20873,6199,14674,10237,2901,7336,371165,866163,191273
59,ŁÓDZKIE,2005,2577465,1228130,1349335,109976,56648,53328,122056,62829,59227,151639,77562,74077,176147,89843,86304,209338,106791,102547,203496,103551,99945,180654,91839,88815,157098,78980,78118,163000,81214,81786,207184,101159,106025,214859,102969,111890,189279,87626,101653,109134,48134,61000,108017,44890,63127,275588,94095,181493,103960,39939,64021,86560,29529,57031,55721,16917,38804,29347,7710,21637,559818,1573042,444605
60,ŚWIĘTOKRZYSKIE,2005,1285007,626859,658148,57001,29288,27713,66126,33790,32336,83742,42580,41162,97289,49845,47444,108970,56257,52713,98709,51291,47418,86442,44728,41714,76335,39065,37270,82033,41779,40254,101129,51127,50002,101458,50321,51137,84369,40808,43561,50357,23092,27265,55285,23659,31626,135762,49229,86533,51467,20849,30618,43162,15923,27239,26691,8484,18207,14442,3973,10469,304158,762537,218312
61,LUBELSKIE,2005,2179611,1058006,1121605,103891,53303,50588,118150,60499,57651,147198,75355,71843,173459,88685,84774,193372,99346,94026,167143,86829,80314,147220,75621,71599,132852,67930,64922,138934,70279,68655,163487,81723,81764,161741,78900,82841,132501,61912,70589,88643,39573,49070,88226,38029,50197,222794,80022,142772,83733,33631,50102,71677,26099,45578,43883,13718,30165,23501,6574,16927,542698,1276823,360090
62,PODKARPACKIE,2005,2098263,1026282,1071981,103602,53243,50359,123589,63539,60050,151860,77404,74456,177830,91016,86814,186116,94832,91284,167817,86050,81767,149773,76457,73316,134389,68123,66266,140388,71534,68854,153685,77282,76403,145026,71349,73677,117461,56179,61282,75794,34530,41264,82488,35968,46520,188445,68776,119669,75422,30686,44736,58903,21893,37010,36359,11449,24910,17761,4748,13013,556881,1229185,312197
63,PODLASKIE,2005,1199689,585596,614093,54714,28028,26686,64587,33145,31442,82844,42488,40356,98191,50450,47741,105424,54511,50913,90014,46399,43615,82115,41781,40334,77378,39333,38045,82782,41960,40822,93202,46905,46297,82027,40310,41717,65575,30897,34678,47321,21296,26025,49179,21236,27943,124336,46857,77479,46867,19531,27336,40820,15415,25405,23634,7856,15778,13015,4055,8960,300336,699813,199540
64,MAZOWIECKIE,2005,5157729,2471937,2685792,241532,123777,117755,259505,132975,126530,307915,157473,150442,356496,182719,173777,422371,215112,207259,429359,215168,214191,390891,195440,195451,322343,162980,159363,322382,161304,161078,399991,196103,203888,413040,197725,215315,333979,155054,178925,207619,91540,116079,214438,89976,124462,535868,194591,341277,203239,81411,121828,170900,63892,107008,103450,33816,69634,58279,15472,42807,1165448,3125896,866385
65,MAŁOPOLSKIE,2006,3271206,1585917,1685289,161611,82748,78863,178598,91314,87284,210212,107508,102704,247824,127022,120802,285946,145129,140817,272889,137099,135790,247863,124517,123346,215264,109220,106044,212549,107487,105062,233475,116507,116968,231286,112891,118395,198993,94006,104987,135236,61639,73597,128460,55831,72629,311000,112999,198001,121381,49498,71883,97286,36209,61077,59878,18795,41083,32455,8497,23958,798245,1959904,513057
66,ŚLĄSKIE,2006,4669137,2253857,2415280,200473,103015,97458,211800,108476,103324,257940,131931,126009,324228,165507,158721,392047,198277,193770,382367,192397,189970,345395,174976,170419,301416,151770,149646,314904,157574,157330,375611,184454,191157,383964,185507,198457,328961,155772,173189,214749,97954,116795,214023,95258,118765,421259,150989,270270,172149,71195,100954,129461,47483,81978,76888,22181,54707,42761,10130,32631,994441,2922619,752077
67,LUBUSKIE,2006,1008520,489148,519372,48560,24933,23627,51471,26509,24962,62632,31848,30784,75905,38677,37228,91776,46478,45298,84503,43055,41448,75543,38611,36932,60740,30693,30047,62776,31368,31408,80089,39571,40518,84665,41225,43440,73311,35365,37946,37921,17411,20510,34759,14478,20281,83869,28926,54943,33031,12694,20337,26355,9175,17180,16632,4793,11839,7851,2264,5587,238568,630814,139138
68,WIELKOPOLSKIE,2006,3378502,1638920,1739582,171310,88541,82769,178952,92067,86885,212110,108694,103416,256218,130941,125277,299728,152501,147227,289044,146240,142804,261764,132341,129423,216285,108976,107309,211784,105621,106163,250183,123046,127137,257922,124765,133157,232961,110150,122811,137417,62810,74607,119219,51152,68067,283605,101075,182530,108350,43558,64792,86728,31983,54745,56076,17072,39004,32451,8462,23989,818590,2082481,477431
69,ZACHODNIOPOMORSKIE,2006,1692838,822989,869849,79064,40894,38170,83905,42975,40930,103256,52835,50421,121787,62399,59388,149025,76148,72877,139445,71140,68305,126604,64293,62311,103206,52297,50909,104839,52600,52239,135323,66773,68550,146179,71123,75056,127256,61436,65820,66610,31430,35180,60536,25641,34895,145803,51005,94798,58251,22770,35481,46252,16302,29950,28435,8313,20122,12865,3620,9245,388012,1063307,241519
70,DOLNOŚLĄSKIE,2006,2882317,1382491,1499826,124494,64169,60325,131774,67421,64353,160965,82364,78601,197664,100988,96676,250075,127055,123020,245516,124140,121376,217605,110376,107229,172462,87321,85141,175837,87592,88245,228235,112060,116175,251987,121812,130175,220969,104540,116429,114179,51799,62380,110772,45576,65196,279783,95278,184505,107171,41040,66131,88885,30001,58884,58050,16958,41092,25677,7279,18398,614897,1814485,452935
71,OPOLSKIE,2006,1041941,503969,537972,41599,21455,20144,49385,25334,24051,60559,30782,29777,77675,39607,38068,90019,45110,44909,82543,41027,41516,76676,38560,38116,70956,35638,35318,74725,38267,36458,82314,41429,40885,80159,39461,40698,69152,33105,36047,40537,18814,21723,48015,20797,27218,97627,34583,63044,41221,16800,24421,30209,10943,19266,17183,4630,12553,9014,2210,6804,229218,645358,167365
72,KUJAWSKO-POMORSKIE,2006,2066371,997275,1069096,100742,51784,48958,107297,55142,52155,131330,66908,64422,155004,78897,76107,181977,92354,89623,167268,85025,82243,153470,77394,76076,130734,65221,65513,131322,65147,66175,157962,77503,80459,162823,78702,84121,143840,67333,76507,85396,38783,46613,77030,32991,44039,180176,64091,116085,69847,28201,41646,56231,20601,35630,34500,10303,24197,19598,4986,14612,494373,1268179,303819
73,POMORSKIE,2006,2203595,1070950,1132645,115342,59355,55987,119095,60863,58232,137574,70695,66879,165213,84521,80692,191605,96864,94741,182536,91644,90892,170885,86018,84867,141471,71661,69810,138849,69703,69146,163347,80638,82709,172885,83494,89391,152817,72887,79930,86039,39877,46162,81396,35528,45868,184541,67202,117339,73712,30574,43138,56762,21503,35259,34719,10146,24573,19348,4979,14369,537224,1354272,312099
74,WARMIŃSKO-MAZURSKIE,2006,1426883,695936,730947,72591,37278,35313,77079,39528,37551,95180,48513,46667,115212,58882,56330,133959,68428,65531,113820,58748,55072,101753,52218,49535,88330,44563,43767,94533,47641,46892,113142,56244,56898,111850,54515,57335,92361,44430,47931,50548,23236,27312,49697,21079,28618,116828,40633,76195,46424,17937,28487,37146,13094,24052,22426,6594,15832,10832,3008,7824,360062,872984,193837
75,ŁÓDZKIE,2006,2566198,1221937,1344261,111174,57324,53850,117079,60058,57021,144777,74235,70542,171266,87514,83752,206121,105121,101000,202545,103042,99503,186038,94597,91441,159691,80508,79183,157932,78689,79243,197186,96058,101128,214230,102921,111309,191817,88816,103001,122533,54250,68283,104970,43661,61309,278839,95143,183696,101993,39234,62759,87825,30220,57605,57908,17389,40519,31113,8300,22813,544296,1569810,452092
76,ŚWIĘTOKRZYSKIE,2006,1279838,623860,655978,56357,28869,27488,63139,32461,30678,79661,40430,39231,94978,48661,46317,108786,55950,52836,99036,51502,47534,88218,45692,42526,77335,39530,37805,79158,40335,38823,97587,49278,48309,101963,50729,51234,88671,42812,45859,54374,25056,29318,52731,22592,30139,137844,49963,87881,50808,20550,30258,44047,16353,27694,27682,8827,18855,15307,4233,11074,294135,765810,219893
77,LUBELSKIE,2006,2172766,1053772,1118994,103537,53127,50410,113518,58150,55368,139798,71449,68349,169133,86553,82580,193740,99115,94625,168573,87642,80931,150051,77427,72624,133470,68021,65449,136259,68948,67311,157770,78769,79001,163162,79890,83272,139813,65665,74148,91516,40771,50745,87042,37402,49640,225384,80843,144541,81892,32849,49043,72781,26608,46173,45869,14420,31449,24842,6966,17876,525986,1283609,363171
78,PODKARPACKIE,2006,2097564,1025598,1071966,102334,52686,49648,118263,60677,57586,144411,73639,70772,174434,89353,85081,187484,95467,92017,168823,86596,82227,153056,78000,75056,135563,68750,66813,137828,70156,67672,151383,76326,75057,147159,72415,74744,124400,59722,64678,79163,36185,42978,80262,35099,45163,193001,70527,122474,75137,30495,44642,60494,22722,37772,38181,12123,26058,19189,5187,14002,539442,1241881,316241
79,PODLASKIE,2006,1196101,583267,612834,54189,27889,26300,61569,31607,29962,78596,40234,38362,95510,49033,46477,106783,55110,51673,90335,46517,43818,83358,42586,40772,77238,39210,38028,81065,41142,39923,91586,45994,45592,84286,41604,42682,69453,32803,36650,47585,21301,26284,47922,20690,27232,126626,47547,79079,46311,19090,27221,41514,15913,25601,25219,8315,16904,13582,4229,9353,289864,705405,200832
80,MAZOWIECKIE,2006,5171702,2476889,2694813,246344,126351,119993,253679,130079,123600,297035,151666,145369,346069,177508,168561,416974,212258,204716,429107,214990,214117,410421,204649,205772,331878,167552,164326,316864,158932,157932,380428,186840,193588,417028,199745,217283,349364,162504,186860,223020,98775,124245,206864,86784,120080,546627,198256,348371,200420,80123,120297,174817,65517,109300,109919,36120,73799,61471,16496,44975,1143127,3150839,877736
81,MAŁOPOLSKIE,2007,3279036,1589177,1689859,163062,83629,79433,173903,88862,85041,201754,103001,98753,243669,124888,118781,279390,142181,137209,277828,139216,138612,254478,128124,126354,219830,111067,108763,210362,106615,103747,227902,113597,114305,233708,114453,119255,205570,97388,108182,147212,67131,80081,122629,53352,69277,317739,115673,202066,120445,49190,71255,100548,37579,62969,61471,19611,41860,35275,9293,25982,782388,1976199,520449
82,ŚLĄSKIE,2007,4654115,2244944,2409171,204874,105158,99716,205753,105601,100152,245691,125641,120050,310647,158618,152029,379709,191851,187858,386171,194461,191710,354188,179186,175002,305418,153927,151491,306384,153329,153055,358726,176551,182175,384509,185756,198753,341576,161402,180174,226111,103640,122471,211263,93454,117809,433095,156369,276726,174171,72252,101919,134571,50113,84458,77994,22875,55119,46359,11129,35230,966965,2920321,766829
83,LUBUSKIE,2007,1008481,488954,519527,49959,25642,24317,49722,25520,24202,59985,30611,29374,73367,37441,35926,88736,44868,43868,86244,43903,42341,77238,39455,37783,63151,31969,31182,60913,30590,30323,75230,37182,38048,85328,41600,43728,76127,36479,39648,43456,20190,23266,33650,14096,19554,85375,29408,55967,32604,12566,20038,26906,9445,17461,16970,4856,12114,8895,2541,6354,233033,633157,142291
84,WIELKOPOLSKIE,2007,3386882,1642755,1744127,176191,91084,85107,174392,89810,84582,203559,104348,99211,249193,127130,122063,291710,148510,143200,293804,148770,145034,269006,136039,132967,224418,113205,111213,208520,103954,104566,238187,117306,120881,260626,126162,134464,237463,112370,125093,155654,71186,84468,115705,50058,65647,288454,102823,185631,108193,43452,64741,88577,32727,55850,56771,17502,39269,34913,9142,25771,803335,2094920,488627
85,ZACHODNIOPOMORSKIE,2007,1692271,821952,870319,80431,41482,38949,81475,41888,39587,98756,50449,48307,117805,60157,57648,144899,74073,70826,141958,72550,69408,129764,65820,63944,106168,53747,52421,102240,51487,50753,126886,62713,64173,146442,71184,75258,132470,63651,68819,75708,35824,39884,58580,25200,33380,148689,51727,96962,57412,22255,35157,47258,16844,30414,29456,8572,20884,14563,4056,10507,378467,1066651,247153
86,DOLNOŚLĄSKIE,2007,2878410,1379463,1498947,127813,65687,62126,127668,65489,62179,154385,78969,75416,190057,97050,93007,240624,122050,118574,249265,125732,123533,224863,114133,110730,179314,90780,88534,170320,85204,85116,214133,104981,109152,249391,120549,128842,230300,108799,121501,130784,59935,70849,105284,43622,61662,284209,96483,187726,105433,40212,65221,89928,30890,59038,59571,17240,42331,29277,8141,21136,599923,1818145,460342
87,OPOLSKIE,2007,1037088,501228,535860,41578,21480,20098,47006,24214,22792,57863,29357,28506,74239,37844,36395,88402,44206,44196,83370,41378,41992,77633,39092,38541,70993,35585,35408,72877,37200,35677,80557,40760,39797,80361,39625,40736,72032,34432,37600,44085,20519,23566,45113,19609,25504,100979,35927,65052,41744,16974,24770,31417,11625,19792,17836,4887,12949,9982,2441,7541,220686,646744,169658
88,KUJAWSKO-POMORSKIE,2007,2066136,996661,1069475,102415,52664,49751,104145,53562,50583,125902,64160,61742,151177,76873,74304,177417,89951,87466,170678,86570,84108,156172,79004,77168,134114,67033,67081,128351,63517,64834,150473,73937,76536,164677,79828,84849,147818,69198,78620,93997,42702,51295,75651,32490,43161,183149,65172,117977,69553,28092,41461,57097,20959,36138,35442,10738,24704,21057,5383,15674,483639,1272402,310095
89,POMORSKIE,2007,2210920,1074144,1136776,118628,61155,57473,116393,59394,56999,132896,68271,64625,160627,82251,78376,187563,94887,92676,184751,92733,92018,175673,88390,87283,145987,74004,71983,137052,68764,68288,156003,77267,78736,173020,83483,89537,157883,75225,82658,95455,44322,51133,79872,35049,44823,189117,68949,120168,73998,30546,43452,58099,22151,35948,35872,10807,25065,21148,5445,15703,528544,1362254,320122
90,WARMIŃSKO-MAZURSKIE,2007,1426155,695039,731116,73296,37518,35778,74885,38501,36384,90704,46289,44415,111971,57236,54735,131277,66966,64311,117504,60747,56757,103059,52862,50197,89395,45189,44206,91576,46062,45514,108777,54150,54627,113542,55415,58127,96888,46521,50367,55462,25597,29865,48353,20448,27905,119466,41538,77928,46090,17965,28125,38075,13429,24646,23104,6853,16251,12197,3291,8906,350856,877615,197684
91,ŁÓDZKIE,2007,2555898,1216266,1339632,112877,58160,54717,113659,58363,55296,138463,71009,67454,166672,85349,81323,198756,101266,97490,204490,104256,100234,190163,96564,93599,163565,82650,80915,154653,76893,77760,185685,90769,94916,213552,102436,111116,194831,90177,104654,136252,60500,75752,101903,42455,59448,280377,95419,184958,99904,38577,61327,88348,30369,57979,58848,17627,41221,33277,8846,24431,531671,1566195,458032
92,ŚWIĘTOKRZYSKIE,2007,1275550,621433,654117,56604,28987,27617,60757,31317,29440,75726,38455,37271,92708,47396,45312,106383,54528,51855,100634,52349,48285,89712,46702,43010,78793,40285,38508,77248,39403,37845,93002,46723,46279,102246,51021,51225,91306,44021,47285,61039,28284,32755,49899,21463,28436,139493,50499,88994,50280,20266,30014,44196,16494,27702,28502,9147,19355,16515,4592,11923,285795,767608,222147
93,LUBELSKIE,2007,2166213,1049990,1116223,104477,53584,50893,109016,55959,53057,133039,67898,65141,164917,84285,80632,190469,97295,93174,172920,90015,82905,151646,78516,73130,135510,69171,66339,133840,67637,66203,150608,75286,75322,164668,80478,84190,144444,68081,76363,99841,44688,55153,83854,35836,48018,226964,81261,145703,80136,32362,47774,73052,26655,46397,47053,14864,32189,26723,7380,19343,511449,1288793,365971
94,PODKARPACKIE,2007,2097338,1025110,1072228,102126,52516,49610,113645,58330,55315,137458,70392,67066,170345,86896,83449,185701,94420,91281,171822,88163,83659,155698,79259,76439,137837,70126,67711,135828,68936,66892,148262,74839,73423,148862,73544,75318,129401,62221,67180,87263,40119,47144,75802,33055,42747,197288,72294,124994,74815,30538,44277,62081,23357,38724,38950,12590,26360,21442,5809,15633,523574,1253530,320234
95,PODLASKIE,2007,1192660,581241,611419,54059,27774,26285,59065,30233,28832,74752,38385,36367,92652,47624,45028,105609,54222,51387,92806,47968,44838,83607,42762,40845,77639,39417,38222,79418,40239,39179,88775,44601,44174,87055,43214,43841,72484,34254,38230,49344,22156,27188,47135,20366,26769,128260,48026,80234,45288,18629,26659,41978,16064,25914,26363,8816,17547,14631,4517,10114,280528,709549,202583
96,MAZOWIECKIE,2007,5188488,2483144,2705344,255056,130863,124193,249073,127632,121441,285942,146415,139527,338233,173010,165223,402810,205060,197750,433514,217214,216300,424652,211227,213425,345784,174257,171527,313900,157626,156274,360339,177382,182957,417284,199994,217290,362348,168975,193373,245524,109313,136211,199060,83227,115833,554969,200949,354020,197591,78776,118815,177596,66575,111021,113085,37520,75565,66697,18078,48619,1128304,3169944,890240
97,MAŁOPOLSKIE,2008,3287136,1592828,1694308,168122,86209,81913,169581,86607,82974,194434,99349,95085,237111,121373,115738,270959,138331,132628,282137,141318,140819,260896,131197,129699,225040,113414,111626,209371,106195,103176,221314,110574,110740,235506,115510,119996,211047,100189,110858,158708,72496,86212,119511,52254,67257,323399,117812,205587,120491,49241,71250,101270,37930,63340,63456,20482,42974,38182,10159,28023,769248,1988766,529122
98,ŚLĄSKIE,2008,4645665,2239899,2405766,213008,109200,103808,200992,103007,97985,235030,120407,114623,297296,151887,145409,363325,183879,179446,391952,197340,194612,361832,182905,178927,311513,156971,154542,299950,150345,149605,340984,168473,172511,385027,185838,199189,350881,165591,185290,241341,110723,130618,207808,91431,116377,444726,161902,282824,177535,73845,103690,136540,51478,85062,80431,24476,55955,50220,12103,38117,946326,2916187,783152
99,LUBUSKIE,2008,1008962,488975,519987,52044,26700,25344,48282,24752,23530,57448,29420,28028,70427,35908,34519,84587,42759,41828,88575,45127,43448,79381,40452,38929,65499,33269,32230,59643,29947,29696,70670,34901,35769,85215,41504,43711,77518,37068,40450,50667,23779,26888,32538,13697,18841,86468,29692,56776,32196,12388,19808,26898,9529,17369,17572,5012,12560,9802,2763,7039,228201,634867,145894
100,WIELKOPOLSKIE,2008,3397617,1647736,1749881,183783,94955,88828,171185,88088,83097,195393,100214,95179,241658,123483,118175,281448,143395,138053,299621,151679,147942,274960,138817,136143,232443,117632,114811,206335,102946,103389,228720,112547,116173,260847,126608,134239,239901,113206,126695,176934,81275,95659,111499,48285,63214,292890,104606,188284,108362,43630,64732,89082,32914,56168,58149,18321,39828,37297,9741,27556,792019,2105550,500048
101,ZACHODNIOPOMORSKIE,2008,1692957,821437,871520,83059,42532,40527,79882,41172,38710,94239,48153,46086,114338,58385,55953,138520,70782,67738,145652,74424,71228,132496,67281,65215,109741,55514,54227,99691,50128,49563,119331,59043,60288,145980,70970,75010,135326,64780,70546,86852,41141,45711,56946,24776,32170,150904,52356,98548,56857,21965,34892,47056,16824,30232,30744,9123,21621,16247,4444,11803,371518,1067878,253561
102,DOLNOŚLĄSKIE,2008,2877059,1378316,1498743,134097,68898,65199,124279,63770,60509,147868,75711,72157,183023,93434,89589,228432,115850,112582,253689,128045,125644,231110,117118,113992,187300,94775,92525,166421,83575,82846,199986,98046,101940,246898,119249,127649,234770,110775,123995,151119,69755,81364,100849,42025,58824,287218,97290,189928,104171,39671,64500,88975,30887,58088,60988,17568,43420,33084,9164,23920,589267,1818361,469431
103,OPOLSKIE,2008,1033040,499058,533982,42552,21934,20618,44844,23162,21682,55277,28077,27200,70745,35994,34751,85504,42843,42661,85241,42405,42836,78527,39483,39044,71230,35707,35523,71064,36158,34906,78415,39666,38749,80801,39980,40821,73743,35244,38499,48712,22698,26014,42470,18570,23900,103915,37137,66778,42329,17187,25142,31880,11877,20003,18792,5425,13367,10914,2648,8266,213418,647223,172399
104,KUJAWSKO-POMORSKIE,2008,2067918,997285,1070633,105612,54122,51490,101945,52369,49576,120288,61607,58681,147557,74985,72572,170143,86355,83788,175594,89004,86590,158567,80364,78203,137944,68994,68950,126574,62822,63752,143215,70250,72965,165344,80205,85139,150177,70415,79762,104764,47682,57082,74058,31838,42220,186136,66273,119863,69475,27951,41524,57579,21310,36269,36486,11277,25209,22596,5735,16861,475402,1275240,317276
105,POMORSKIE,2008,2219512,1078199,1141313,123772,63925,59847,114709,58679,56030,128357,65766,62591,155433,79821,75612,181581,91828,89753,188714,94740,93974,178879,89893,88986,151184,76307,74877,135494,68273,67221,149661,74376,75285,172406,83294,89112,160646,76423,84223,106953,49620,57333,78482,34665,43817,193241,70589,122652,74342,30505,43837,58759,22548,36211,37219,11672,25547,22921,5864,17057,522271,1368185,329056
106,WARMIŃSKO-MAZURSKIE,2008,1427073,695352,731721,75168,38563,36605,73209,37692,35517,86329,44048,42281,108009,55221,52788,126797,64489,62308,122889,63546,59343,104692,53973,50719,91209,46175,45034,88964,44623,44341,104152,51735,52417,114830,56284,58546,99892,47874,52018,62754,29085,33669,46502,19831,26671,121677,42213,79464,45871,17893,27978,37959,13442,24517,24396,7267,17129,13451,3611,9840,342715,882510,201848
107,ŁÓDZKIE,2008,2548861,1212328,1336533,116793,60039,56754,111208,57324,53884,131854,67556,64298,162177,82960,79217,189323,96500,92823,207360,105629,101731,194343,98775,95568,167632,84737,82895,152974,76167,76807,175011,85685,89326,211336,101482,109854,197472,91400,106072,149821,66643,83178,100460,42021,58439,281097,95410,185687,98207,37850,60357,87219,30118,57101,59605,17952,41653,36066,9490,26576,522032,1562094,464735
108,ŚWIĘTOKRZYSKIE,2008,1272784,619713,653071,57832,29625,28207,58689,30145,28544,72204,36756,35448,90012,46052,43960,101976,52249,49727,104316,53966,50350,91411,47746,43665,80288,41091,39197,75803,38602,37201,88422,44399,44023,102049,50878,51171,93417,45109,48308,67650,31581,36069,48045,20792,27253,140670,50722,89948,49961,20040,29921,43600,16320,27280,29509,9528,19981,17600,4834,12766,278737,769263,224784
109,LUBELSKIE,2008,2161832,1047039,1114793,106239,54338,51901,106282,54548,51734,127051,64821,62230,159421,81614,77807,183826,93567,90259,179389,93459,85930,153839,79709,74130,138031,70266,67765,131804,66735,65069,144559,72249,72310,164200,80338,83862,148574,70391,78183,108566,48662,59904,81627,34708,46919,228424,81634,146790,79614,32148,47466,71544,25995,45549,48599,15620,32979,28667,7871,20796,498993,1292884,369955
110,PODKARPACKIE,2008,2099495,1026117,1073378,103986,53449,50537,109483,56304,53179,131840,67542,64298,164700,84026,80674,181245,92273,88972,177192,90693,86499,158844,81104,77740,140458,71527,68931,133941,67796,66145,145285,73536,71749,149926,74106,75820,133390,64394,68996,95922,44160,51762,72701,31732,40969,200582,73475,127107,74633,30427,44206,62061,23443,38618,40506,13261,27245,23382,6344,17038,510009,1264441,325045
111,PODLASKIE,2008,1191470,580313,611157,55314,28499,26815,56805,29052,27753,70716,36272,34444,89660,46129,43531,102605,52612,49993,96918,50155,46763,84462,43232,41230,78359,39897,38462,77779,39399,38380,86256,43201,43055,89400,44377,45023,74146,35257,38889,53217,24059,29158,45785,19723,26062,130048,48449,81599,45103,18484,26619,41275,15825,25450,27572,9247,18325,16098,4893,11205,272495,713984,204991
112,MAZOWIECKIE,2008,5204495,2490331,2714164,266961,137432,129529,245458,125719,119739,275937,141486,134451,328726,168176,160550,386466,196949,189517,436754,218585,218169,434830,216200,218630,361631,181884,179747,312832,157189,155643,342962,169202,173760,413270,198455,214815,374310,174837,199473,268747,119923,148824,193656,81508,112148,561955,202786,359169,196559,77937,118622,175745,65650,110095,117157,39215,77942,72494,19984,52510,1117082,3182978,904435
113,MAŁOPOLSKIE,2009,3298270,1598066,1700204,173914,89187,84727,166201,85195,81006,187981,95949,92032,229848,117694,112154,262958,134459,128499,285895,143044,142851,265806,133511,132295,232445,117128,115317,209199,105887,103312,216219,108122,108097,235747,115931,119816,216016,102969,113047,168441,77064,91377,118379,51888,66491,329221,120038,209183,120594,49255,71339,101581,38199,63382,65979,21614,44365,41067,10970,30097,757944,2001349,538977
114,ŚLĄSKIE,2009,4640725,2237129,2403596,221184,113277,107907,198889,101894,96995,224549,115230,109319,284028,144918,139110,348438,176566,171872,394168,199118,195050,369050,186256,182794,320519,161967,158552,294836,147821,147015,326157,161586,164571,381809,184430,197379,357694,168545,189149,259713,119275,140438,202641,88570,114071,457050,167676,289374,181229,75857,105372,137832,52202,85630,83901,26466,57435,54088,13151,40937,928650,2911946,800129
115,LUBUSKIE,2009,1010047,489461,520586,53696,27495,26201,47736,24460,23276,55174,28352,26822,68078,34752,33326,80339,40611,39728,90139,45938,44201,81252,41475,39777,68424,34733,33691,58772,29539,29233,66813,33112,33701,84298,41131,43167,78431,37417,41014,57902,27187,30715,31610,13368,18242,87383,29891,57492,31819,12217,19602,26800,9471,17329,18068,5282,12786,10696,2921,7775,224684,635655,149708
116,WIELKOPOLSKIE,2009,3408281,1653354,1754927,191203,98880,92323,169162,87307,81855,188684,96738,91946,232865,118934,113931,270909,138307,132602,302262,152776,149486,281993,142597,139396,241437,122261,119176,206361,103140,103221,219629,108192,111437,259148,125895,133253,241944,114262,127682,198715,91237,107478,107051,46633,60418,296918,106195,190723,108816,43787,65029,89475,33090,56385,59354,19073,40281,39273,10245,29028,781914,2114920,511447
117,ZACHODNIOPOMORSKIE,2009,1693198,821446,871752,85263,43618,41645,78828,40823,38005,89821,45913,43908,111025,56657,54368,131901,67441,64460,147493,75345,72148,134880,68664,66216,114616,58028,56588,98768,49791,48977,112124,55749,56375,143974,69893,74081,137053,65388,71665,99076,46761,52315,55692,24441,31251,152684,52934,99750,55601,21653,33948,47474,17011,30463,31791,9623,22168,17818,4647,13171,364937,1067570,260691
118,DOLNOŚLĄSKIE,2009,2876627,1377897,1498730,139477,71450,68027,122969,63103,59866,141056,72390,68666,176556,90027,86529,217077,110239,106838,255552,128967,126585,236814,120044,116770,196317,99319,96998,164932,82965,81967,188446,92501,95945,241764,117074,124690,237662,111969,125693,171175,78899,92276,97815,41450,56365,289015,97500,191515,102449,38833,63616,88093,30795,57298,62165,18012,44153,36308,9860,26448,580058,1817463,479106
119,OPOLSKIE,2009,1031097,498373,532724,43689,22551,21138,43155,22312,20843,52957,27082,25875,67244,34199,33045,82404,41514,40890,87016,43508,43508,79509,39799,39710,72241,36266,35975,70088,35540,34548,76035,38603,37432,80937,40107,40830,74962,35920,39042,53890,25102,28788,39927,17509,22418,107043,38361,68682,43036,17444,25592,32357,12115,20242,19801,5948,13853,11849,2854,8995,207045,648294,175758
120,KUJAWSKO-POMORSKIE,2009,2069083,997968,1071115,108675,55656,53019,100273,51509,48764,115099,58998,56101,143296,72809,70487,163269,82949,80320,178660,90739,87921,161356,81850,79506,142060,71279,70781,125828,62371,63457,137049,67286,69763,164000,79715,84285,151799,71307,80492,117333,53460,63873,71908,31013,40895,188478,67027,121451,69359,27900,41459,57479,21193,36286,37827,11940,25887,23813,5994,17819,467343,1277481,324259
